Text,Label
"The military crackdown has intensified, with reports of severe casualties.",1
International observers commend the public for their peaceful demonstrations.,2
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
Human rights organizations have condemned the use of excessive force by authorities.,1
The interim government promises reforms to address public concerns.,2
Human rights organizations have condemned the use of excessive force by authorities.,1
"Thousands gathered in Dhaka, celebrating the announcement of a new political leadership.",2
The military has promised to restore peace and stability in the coming weeks.,0
Protesters criticize the government for its failure to address the economic crisis.,1
The military has promised to restore peace and stability in the coming weeks.,0
"The military crackdown has intensified, with reports of severe casualties.",1
"Local leaders urge calm, hoping for a peaceful transition to the interim government.",0
Reports indicate over 100 fatalities as protests continue across the capital.,1
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
"Local leaders urge calm, hoping for a peaceful transition to the interim government.",0
Reports indicate over 100 fatalities as protests continue across the capital.,1
"The military crackdown has intensified, with reports of severe casualties.",1
Human rights organizations have condemned the use of excessive force by authorities.,1
The interim government promises reforms to address public concerns.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
Human rights organizations have condemned the use of excessive force by authorities.,1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
Human rights organizations have condemned the use of excessive force by authorities.,1
The interim government promises reforms to address public concerns.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
The interim government promises reforms to address public concerns.,2
International observers commend the public for their peaceful demonstrations.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
"Thousands gathered in Dhaka, celebrating the announcement of a new political leadership.",2
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
Local communities are hopeful for a peaceful transition to a democratic system.,2
The interim government promises reforms to address public concerns.,2
"Thousands gathered in Dhaka, celebrating the announcement of a new political leadership.",2
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
The military has promised to restore peace and stability in the coming weeks.,0
The interim government promises reforms to address public concerns.,2
Local communities are hopeful for a peaceful transition to a democratic system.,2
"The military crackdown has intensified, with reports of severe casualties.",1
Local communities are hopeful for a peaceful transition to a democratic system.,2
Local communities are hopeful for a peaceful transition to a democratic system.,2
"The military crackdown has intensified, with reports of severe casualties.",1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
The interim government promises reforms to address public concerns.,2
Human rights organizations have condemned the use of excessive force by authorities.,1
International observers commend the public for their peaceful demonstrations.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
Protesters criticize the government for its failure to address the economic crisis.,1
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
The interim government promises reforms to address public concerns.,2
Local communities are hopeful for a peaceful transition to a democratic system.,2
The military has promised to restore peace and stability in the coming weeks.,0
The military has promised to restore peace and stability in the coming weeks.,0
Human rights organizations have condemned the use of excessive force by authorities.,1
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
"Local leaders urge calm, hoping for a peaceful transition to the interim government.",0
Reports indicate over 100 fatalities as protests continue across the capital.,1
Local communities are hopeful for a peaceful transition to a democratic system.,2
Protesters criticize the government for its failure to address the economic crisis.,1
The announcement of an interim government has been met with mixed reactions from the public.,0
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
Reports indicate over 100 fatalities as protests continue across the capital.,1
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
"The military crackdown has intensified, with reports of severe casualties.",1
The interim government promises reforms to address public concerns.,2
Human rights organizations have condemned the use of excessive force by authorities.,1
Local communities are hopeful for a peaceful transition to a democratic system.,2
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
Protesters criticize the government for its failure to address the economic crisis.,1
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The military has promised to restore peace and stability in the coming weeks.,0
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
The military has promised to restore peace and stability in the coming weeks.,0
The interim government promises reforms to address public concerns.,2
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
International observers commend the public for their peaceful demonstrations.,2
Local communities are hopeful for a peaceful transition to a democratic system.,2
"The military crackdown has intensified, with reports of severe casualties.",1
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
International observers commend the public for their peaceful demonstrations.,2
"The military crackdown has intensified, with reports of severe casualties.",1
Local communities are hopeful for a peaceful transition to a democratic system.,2
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
The announcement of an interim government has been met with mixed reactions from the public.,0
The announcement of an interim government has been met with mixed reactions from the public.,0
Local communities are hopeful for a peaceful transition to a democratic system.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
"The military crackdown has intensified, with reports of severe casualties.",1
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
Local communities are hopeful for a peaceful transition to a democratic system.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The military has promised to restore peace and stability in the coming weeks.,0
"Local leaders urge calm, hoping for a peaceful transition to the interim government.",0
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
The interim government promises reforms to address public concerns.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
Reports indicate over 100 fatalities as protests continue across the capital.,1
Local communities are hopeful for a peaceful transition to a democratic system.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
"The military crackdown has intensified, with reports of severe casualties.",1
Reports indicate over 100 fatalities as protests continue across the capital.,1
International observers commend the public for their peaceful demonstrations.,2
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
The interim government promises reforms to address public concerns.,2
Reports indicate widespread demonstrations across major cities in Bangladesh.,0
Reports indicate over 100 fatalities as protests continue across the capital.,1
"Thousands gathered in Dhaka, celebrating the announcement of a new political leadership.",2
Human rights organizations have condemned the use of excessive force by authorities.,1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
The interim government promises reforms to address public concerns.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The military has promised to restore peace and stability in the coming weeks.,0
"Violent clashes broke out, resulting in dozens of injuries and public unrest.",1
International observers commend the public for their peaceful demonstrations.,2
The resignation of the Prime Minister is seen as a victory for the people's movement.,2
The announcement of an interim government has been met with mixed reactions from the public.,0
Human rights organizations have condemned the use of excessive force by authorities.,1
"The military crackdown has intensified, with reports of severe casualties.",1
Prime Minister Sheikh Hasina announced her resignation amid protests in Dhaka.,0
